ID	Track	Artist	Position	Trend	Date	Chart	market
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	1	#3e3e40	2021-09-01	Viral 50	in
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	2	#3e3e40	2021-09-01	Viral 50	in
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#84bd00	2021-09-01	Viral 50	in
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	4	#bd3200	2021-09-01	Viral 50	in
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	5	#3e3e40	2021-09-01	Viral 50	in
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	6	#3e3e40	2021-09-01	Viral 50	in
2PEJKORCdmceTW2cgTkHv5	Aadmi Chutiya Hai	Rahgir	7	#3e3e40	2021-09-01	Viral 50	in
2XCLO2n0OlkokN2PUz3tRm	Bollywood Romantic Lofi Mashup	Visual Chinmay	8	#3e3e40	2021-09-01	Viral 50	in
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	9	#3e3e40	2021-09-01	Viral 50	in
5D2L026JQTKC2gcq3qkYpj	Fairytale	Alexander Rybak	10	#3e3e40	2021-09-01	Viral 50	in
4oBhE31sIakxf8bSPHuRT1	Bullettu Bandi	Mohana Bhogaraju	11	#3e3e40	2021-09-01	Viral 50	in
3khiYRqf3tjb6PSGBhkfl4	Maine Royaan (Lofi Remix)	Tanveer Evan, Ahmed Shakib	12	#84bd00	2021-09-01	Viral 50	in
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	13	#bd3200	2021-09-01	Viral 50	in
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	14	#84bd00	2021-09-01	Viral 50	in
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	15	#bd3200	2021-09-01	Viral 50	in
1anzQQFdYK1vvbrQl0KgFa	GLOW	bear bear & friends	16	#3e3e40	2021-09-01	Viral 50	in
2XXUhkRwuHFIWhNfHPPZQ3	It's My Life	Sandaru Sathsara	17	#84bd00	2021-09-01	Viral 50	in
2uBlWwG0P6cUOUBiZhPmBM	Marjaawaan	Gurnazar, Asees Kaur	18	#bd3200	2021-09-01	Viral 50	in
4rTLrIxqXANo0831NVvzUF	Simple Dimple Pop it (simpo simpo #tiktok)	Urban Spain	19	#3e3e40	2021-09-01	Viral 50	in
1hju1lzW1cq8ua9YuhGi8k	Tere Bin - Hum Kahan Ke Sachay Thy OST	Azaan Sami Khan, Yashal Shahid	20	#3e3e40	2021-09-01	Viral 50	in
6VX8AN09uX41IrwbWmNzgI	Fairytale	Ambassador	21	#84bd00	2021-09-01	Viral 50	in
4a1WLOoydq7u011UG9jjC9	Krvn	UZI	22	#bd3200	2021-09-01	Viral 50	in
56Zo8ND4RCr9d9CSpB8Duh	Polozhenie	Sigma Rule, T3NZU	23	#84bd00	2021-09-01	Viral 50	in
3z06k8YF9CqX0CGFrlekOK	everything sucks	vaultboy	24	#84bd00	2021-09-01	Viral 50	in
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	25	#bd3200	2021-09-01	Viral 50	in
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	26	#3e3e40	2021-09-01	Viral 50	in
0CawrCDxkBgaR2ImcpQYMm	So Good	OAFF, Kayan	27	#bd3200	2021-09-01	Viral 50	in
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	28	#3e3e40	2021-09-01	Viral 50	in
0NvGVd87SYZnryTcfQPKUO	Kali Kali Zulfon Ke	Madhur Sharma	29	#84bd00	2021-09-01	Viral 50	in
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	30	#84bd00	2021-09-01	Viral 50	in
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	31	#bd3200	2021-09-01	Viral 50	in
195T7aA4DpJtDFarqvhCKm	Krishna Flute Music For Positive Energy	Sourav Kumar	32	#84bd00	2021-09-01	Viral 50	in
6voQcZ46RMVPfg6O7sBn5U	"Idhuvum Kadandhu Pogum (The Healing Song) (From ""Netrikann"")"	Girishh, Sid Sriram	33	#3e3e40	2021-09-01	Viral 50	in
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	34	#84bd00	2021-09-01	Viral 50	in
6oM6WUF3r8qUmLHhuSgL6X	Mere Nishan	Sean Dead, Arijit Dey	35	#84bd00	2021-09-01	Viral 50	in
4g8dFLgKP8u0lLUTLqcCgK	1 Dance, Baby I Like Your Style - Slowed Version	Rising6	36	#3e3e40	2021-09-01	Viral 50	in
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	37	#3e3e40	2021-09-01	Viral 50	in
4wAW1wPisvtAAIR9TQU3kO	Up Up and Away	Xxxtention	38	#84bd00	2021-09-01	Viral 50	in
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	39	#4687d7	2021-09-01	Viral 50	in
7uacV4lyW352coabeaDOQv	Maaran	Bhoomee, Sid Sriram	40	#bd3200	2021-09-01	Viral 50	in
3EOu9PdlgITjTh55oYw5RQ	Dil Ko Karaar Aaya Lofi	Siam Hossain, Royalty Music Records	41	#4687d7	2021-09-01	Viral 50	in
21CvSW5NIu5Glg9x3BPxjj	Star Song	Sally Sossa, Lil Durk	42	#bd3200	2021-09-01	Viral 50	in
1dIWPXMX4kRHj6Dt2DStUQ	Chosen (feat. Ty Dolla $ign)	Blxst, Tyga	43	#84bd00	2021-09-01	Viral 50	in
5ACacHdqtOjENeTgh4qfmy	Top Notch Gabru	Vicky	44	#84bd00	2021-09-01	Viral 50	in
7F1CiKqrY44kh5cDqwHOnx	Love Is Gone - Acoustic	SLANDER, Dylan Matthew	45	#84bd00	2021-09-01	Viral 50	in
7892BLqVN5xkhB9v40b060	Roi Naa - Lofi	It's DPK	46	#4687d7	2021-09-01	Viral 50	in
2fouqzx1T2T89ZrtqSvU0R	Casanova	JERRY	47	#bd3200	2021-09-01	Viral 50	in
18NWfZfWt7LG1mLzoXe849	Kanne Kalaimaane	K. J. Yesudas	48	#bd3200	2021-09-01	Viral 50	in
6y5Xy33PkLxHMJ9XyJDDGS	Cristal Моёт Тлеет	Gz1x, Morgenshtern, Bula	49	#84bd00	2021-09-01	Viral 50	in
2vP8Frr7MNTLYCK37cit1K	Akhiyaan Da Surma (Lokan Ton Chhuppa Ke Rakhin)	Rishabh, Poorva Thakur	50	#bd3200	2021-09-01	Viral 50	in
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	1	#3e3e40	2021-09-02	Viral 50	in
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	2	#3e3e40	2021-09-02	Viral 50	in
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#3e3e40	2021-09-02	Viral 50	in
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	4	#3e3e40	2021-09-02	Viral 50	in
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	5	#3e3e40	2021-09-02	Viral 50	in
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	6	#3e3e40	2021-09-02	Viral 50	in
2PEJKORCdmceTW2cgTkHv5	Aadmi Chutiya Hai	Rahgir	7	#3e3e40	2021-09-02	Viral 50	in
2XCLO2n0OlkokN2PUz3tRm	Bollywood Romantic Lofi Mashup	Visual Chinmay	8	#3e3e40	2021-09-02	Viral 50	in
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	9	#3e3e40	2021-09-02	Viral 50	in
5D2L026JQTKC2gcq3qkYpj	Fairytale	Alexander Rybak	10	#3e3e40	2021-09-02	Viral 50	in
3khiYRqf3tjb6PSGBhkfl4	Maine Royaan (Lofi Remix)	Tanveer Evan, Ahmed Shakib	11	#84bd00	2021-09-02	Viral 50	in
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	12	#84bd00	2021-09-02	Viral 50	in
4oBhE31sIakxf8bSPHuRT1	Bullettu Bandi	Mohana Bhogaraju	13	#bd3200	2021-09-02	Viral 50	in
1anzQQFdYK1vvbrQl0KgFa	GLOW	bear bear & friends	14	#84bd00	2021-09-02	Viral 50	in
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	15	#bd3200	2021-09-02	Viral 50	in
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	16	#bd3200	2021-09-02	Viral 50	in
2XXUhkRwuHFIWhNfHPPZQ3	It's My Life	Sandaru Sathsara	17	#3e3e40	2021-09-02	Viral 50	in
2uBlWwG0P6cUOUBiZhPmBM	Marjaawaan	Gurnazar, Asees Kaur	18	#3e3e40	2021-09-02	Viral 50	in
4rTLrIxqXANo0831NVvzUF	Simple Dimple Pop it (simpo simpo #tiktok)	Urban Spain	19	#3e3e40	2021-09-02	Viral 50	in
1hju1lzW1cq8ua9YuhGi8k	Tere Bin - Hum Kahan Ke Sachay Thy OST	Azaan Sami Khan, Yashal Shahid	20	#3e3e40	2021-09-02	Viral 50	in
7nPiz3mQKCmLCIW70Re634	Tu Tu Tutu	Dybbukk	21	#4687d7	2021-09-02	Viral 50	in
4a1WLOoydq7u011UG9jjC9	Krvn	UZI	22	#3e3e40	2021-09-02	Viral 50	in
6VX8AN09uX41IrwbWmNzgI	Fairytale	Ambassador	23	#bd3200	2021-09-02	Viral 50	in
3z06k8YF9CqX0CGFrlekOK	everything sucks	vaultboy	24	#3e3e40	2021-09-02	Viral 50	in
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	25	#84bd00	2021-09-02	Viral 50	in
195T7aA4DpJtDFarqvhCKm	Krishna Flute Music For Positive Energy	Sourav Kumar	26	#84bd00	2021-09-02	Viral 50	in
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	27	#bd3200	2021-09-02	Viral 50	in
0NvGVd87SYZnryTcfQPKUO	Kali Kali Zulfon Ke	Madhur Sharma	28	#84bd00	2021-09-02	Viral 50	in
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	29	#bd3200	2021-09-02	Viral 50	in
0CawrCDxkBgaR2ImcpQYMm	So Good	OAFF, Kayan	30	#bd3200	2021-09-02	Viral 50	in
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	31	#bd3200	2021-09-02	Viral 50	in
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	32	#bd3200	2021-09-02	Viral 50	in
6oM6WUF3r8qUmLHhuSgL6X	Mere Nishan	Sean Dead, Arijit Dey	33	#84bd00	2021-09-02	Viral 50	in
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	34	#84bd00	2021-09-02	Viral 50	in
6voQcZ46RMVPfg6O7sBn5U	"Idhuvum Kadandhu Pogum (The Healing Song) (From ""Netrikann"")"	Girishh, Sid Sriram	35	#bd3200	2021-09-02	Viral 50	in
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	36	#bd3200	2021-09-02	Viral 50	in
3EOu9PdlgITjTh55oYw5RQ	Dil Ko Karaar Aaya Lofi	Siam Hossain, Royalty Music Records	37	#84bd00	2021-09-02	Viral 50	in
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	38	#bd3200	2021-09-02	Viral 50	in
4g8dFLgKP8u0lLUTLqcCgK	1 Dance, Baby I Like Your Style - Slowed Version	Rising6	39	#bd3200	2021-09-02	Viral 50	in
21CvSW5NIu5Glg9x3BPxjj	Star Song	Sally Sossa, Lil Durk	40	#84bd00	2021-09-02	Viral 50	in
4wAW1wPisvtAAIR9TQU3kO	Up Up and Away	Xxxtention	41	#bd3200	2021-09-02	Viral 50	in
1dIWPXMX4kRHj6Dt2DStUQ	Chosen (feat. Ty Dolla $ign)	Blxst, Tyga	42	#84bd00	2021-09-02	Viral 50	in
7uacV4lyW352coabeaDOQv	Maaran	Bhoomee, Sid Sriram	43	#bd3200	2021-09-02	Viral 50	in
5ACacHdqtOjENeTgh4qfmy	Top Notch Gabru	Vicky	44	#3e3e40	2021-09-02	Viral 50	in
7F1CiKqrY44kh5cDqwHOnx	Love Is Gone - Acoustic	SLANDER, Dylan Matthew	45	#3e3e40	2021-09-02	Viral 50	in
7892BLqVN5xkhB9v40b060	Roi Naa - Lofi	It's DPK	46	#3e3e40	2021-09-02	Viral 50	in
2fouqzx1T2T89ZrtqSvU0R	Casanova	JERRY	47	#3e3e40	2021-09-02	Viral 50	in
3H1luLstvezjVxNGrBcqdW	You'll Get Over It	Drew Kent	48	#4687d7	2021-09-02	Viral 50	in
6y5Xy33PkLxHMJ9XyJDDGS	Cristal Моёт Тлеет	Gz1x, Morgenshtern, Bula	49	#3e3e40	2021-09-02	Viral 50	in
18NWfZfWt7LG1mLzoXe849	Kanne Kalaimaane	K. J. Yesudas	50	#bd3200	2021-09-02	Viral 50	in
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	1	#3e3e40	2021-09-03	Viral 50	in
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	2	#84bd00	2021-09-03	Viral 50	in
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	3	#bd3200	2021-09-03	Viral 50	in
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	4	#bd3200	2021-09-03	Viral 50	in
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	5	#3e3e40	2021-09-03	Viral 50	in
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	6	#3e3e40	2021-09-03	Viral 50	in
2PEJKORCdmceTW2cgTkHv5	Aadmi Chutiya Hai	Rahgir	7	#3e3e40	2021-09-03	Viral 50	in
2XCLO2n0OlkokN2PUz3tRm	Bollywood Romantic Lofi Mashup	Visual Chinmay	8	#3e3e40	2021-09-03	Viral 50	in
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	9	#3e3e40	2021-09-03	Viral 50	in
3khiYRqf3tjb6PSGBhkfl4	Maine Royaan (Lofi Remix)	Tanveer Evan, Ahmed Shakib	10	#84bd00	2021-09-03	Viral 50	in
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	11	#84bd00	2021-09-03	Viral 50	in
5D2L026JQTKC2gcq3qkYpj	Fairytale	Alexander Rybak	12	#bd3200	2021-09-03	Viral 50	in
4oBhE31sIakxf8bSPHuRT1	Bullettu Bandi	Mohana Bhogaraju	13	#3e3e40	2021-09-03	Viral 50	in
1anzQQFdYK1vvbrQl0KgFa	GLOW	bear bear & friends	14	#3e3e40	2021-09-03	Viral 50	in
2XXUhkRwuHFIWhNfHPPZQ3	It's My Life	Sandaru Sathsara	15	#84bd00	2021-09-03	Viral 50	in
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	16	#bd3200	2021-09-03	Viral 50	in
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	17	#bd3200	2021-09-03	Viral 50	in
2uBlWwG0P6cUOUBiZhPmBM	Marjaawaan	Gurnazar, Asees Kaur	18	#3e3e40	2021-09-03	Viral 50	in
4rTLrIxqXANo0831NVvzUF	Simple Dimple Pop it (simpo simpo #tiktok)	Urban Spain	19	#3e3e40	2021-09-03	Viral 50	in
1hju1lzW1cq8ua9YuhGi8k	Tere Bin - Hum Kahan Ke Sachay Thy OST	Azaan Sami Khan, Yashal Shahid	20	#3e3e40	2021-09-03	Viral 50	in
4a1WLOoydq7u011UG9jjC9	Krvn	UZI	21	#84bd00	2021-09-03	Viral 50	in
6VX8AN09uX41IrwbWmNzgI	Fairytale	Ambassador	22	#84bd00	2021-09-03	Viral 50	in
3z06k8YF9CqX0CGFrlekOK	everything sucks	vaultboy	23	#84bd00	2021-09-03	Viral 50	in
7nPiz3mQKCmLCIW70Re634	Tu Tu Tutu	Dybbukk	24	#bd3200	2021-09-03	Viral 50	in
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	25	#3e3e40	2021-09-03	Viral 50	in
195T7aA4DpJtDFarqvhCKm	Krishna Flute Music For Positive Energy	Sourav Kumar	26	#3e3e40	2021-09-03	Viral 50	in
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	27	#84bd00	2021-09-03	Viral 50	in
6oM6WUF3r8qUmLHhuSgL6X	Mere Nishan	Sean Dead, Arijit Dey	28	#84bd00	2021-09-03	Viral 50	in
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	29	#84bd00	2021-09-03	Viral 50	in
0NvGVd87SYZnryTcfQPKUO	Kali Kali Zulfon Ke	Madhur Sharma	30	#bd3200	2021-09-03	Viral 50	in
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	31	#bd3200	2021-09-03	Viral 50	in
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	32	#84bd00	2021-09-03	Viral 50	in
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	33	#84bd00	2021-09-03	Viral 50	in
3EOu9PdlgITjTh55oYw5RQ	Dil Ko Karaar Aaya Lofi	Siam Hossain, Royalty Music Records	34	#84bd00	2021-09-03	Viral 50	in
0CawrCDxkBgaR2ImcpQYMm	So Good	OAFF, Kayan	35	#bd3200	2021-09-03	Viral 50	in
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	36	#bd3200	2021-09-03	Viral 50	in
6voQcZ46RMVPfg6O7sBn5U	"Idhuvum Kadandhu Pogum (The Healing Song) (From ""Netrikann"")"	Girishh, Sid Sriram	37	#bd3200	2021-09-03	Viral 50	in
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	38	#3e3e40	2021-09-03	Viral 50	in
21CvSW5NIu5Glg9x3BPxjj	Star Song	Sally Sossa, Lil Durk	39	#84bd00	2021-09-03	Viral 50	in
4g8dFLgKP8u0lLUTLqcCgK	1 Dance, Baby I Like Your Style - Slowed Version	Rising6	40	#bd3200	2021-09-03	Viral 50	in
1dIWPXMX4kRHj6Dt2DStUQ	Chosen (feat. Ty Dolla $ign)	Blxst, Tyga	41	#84bd00	2021-09-03	Viral 50	in
5S1102uVOmaQhwKcKGtLmO	Mere Liye	Akhil Sachdeva	42	#4687d7	2021-09-03	Viral 50	in
5ACacHdqtOjENeTgh4qfmy	Top Notch Gabru	Vicky	43	#84bd00	2021-09-03	Viral 50	in
7uacV4lyW352coabeaDOQv	Maaran	Bhoomee, Sid Sriram	44	#bd3200	2021-09-03	Viral 50	in
7F1CiKqrY44kh5cDqwHOnx	Love Is Gone - Acoustic	SLANDER, Dylan Matthew	45	#3e3e40	2021-09-03	Viral 50	in
7892BLqVN5xkhB9v40b060	Roi Naa - Lofi	It's DPK	46	#3e3e40	2021-09-03	Viral 50	in
4wAW1wPisvtAAIR9TQU3kO	Up Up and Away	Xxxtention	47	#bd3200	2021-09-03	Viral 50	in
39g4GmzPyDLTdtnhu24r2H	Jorthaale	Asal Kolaar, ofRO	48	#4687d7	2021-09-03	Viral 50	in
3H1luLstvezjVxNGrBcqdW	You'll Get Over It	Drew Kent	49	#bd3200	2021-09-03	Viral 50	in
6y5Xy33PkLxHMJ9XyJDDGS	Cristal Моёт Тлеет	Gz1x, Morgenshtern, Bula	50	#bd3200	2021-09-03	Viral 50	in
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	1	#3e3e40	2021-09-04	Viral 50	in
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	2	#3e3e40	2021-09-04	Viral 50	in
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	3	#84bd00	2021-09-04	Viral 50	in
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	4	#3e3e40	2021-09-04	Viral 50	in
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	5	#bd3200	2021-09-04	Viral 50	in
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	6	#3e3e40	2021-09-04	Viral 50	in
2PEJKORCdmceTW2cgTkHv5	Aadmi Chutiya Hai	Rahgir	7	#3e3e40	2021-09-04	Viral 50	in
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	8	#84bd00	2021-09-04	Viral 50	in
2XCLO2n0OlkokN2PUz3tRm	Bollywood Romantic Lofi Mashup	Visual Chinmay	9	#bd3200	2021-09-04	Viral 50	in
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	10	#84bd00	2021-09-04	Viral 50	in
3khiYRqf3tjb6PSGBhkfl4	Maine Royaan (Lofi Remix)	Tanveer Evan, Ahmed Shakib	11	#bd3200	2021-09-04	Viral 50	in
4oBhE31sIakxf8bSPHuRT1	Bullettu Bandi	Mohana Bhogaraju	12	#84bd00	2021-09-04	Viral 50	in
5D2L026JQTKC2gcq3qkYpj	Fairytale	Alexander Rybak	13	#bd3200	2021-09-04	Viral 50	in
1anzQQFdYK1vvbrQl0KgFa	GLOW	bear bear & friends	14	#3e3e40	2021-09-04	Viral 50	in
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	15	#84bd00	2021-09-04	Viral 50	in
2XXUhkRwuHFIWhNfHPPZQ3	It's My Life	Sandaru Sathsara	16	#bd3200	2021-09-04	Viral 50	in
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	17	#3e3e40	2021-09-04	Viral 50	in
4rTLrIxqXANo0831NVvzUF	Simple Dimple Pop it (simpo simpo #tiktok)	Urban Spain	18	#84bd00	2021-09-04	Viral 50	in
2uBlWwG0P6cUOUBiZhPmBM	Marjaawaan	Gurnazar, Asees Kaur	19	#bd3200	2021-09-04	Viral 50	in
1hju1lzW1cq8ua9YuhGi8k	Tere Bin - Hum Kahan Ke Sachay Thy OST	Azaan Sami Khan, Yashal Shahid	20	#3e3e40	2021-09-04	Viral 50	in
4a1WLOoydq7u011UG9jjC9	Krvn	UZI	21	#3e3e40	2021-09-04	Viral 50	in
6VX8AN09uX41IrwbWmNzgI	Fairytale	Ambassador	22	#3e3e40	2021-09-04	Viral 50	in
195T7aA4DpJtDFarqvhCKm	Krishna Flute Music For Positive Energy	Sourav Kumar	23	#84bd00	2021-09-04	Viral 50	in
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	24	#84bd00	2021-09-04	Viral 50	in
3z06k8YF9CqX0CGFrlekOK	everything sucks	vaultboy	25	#bd3200	2021-09-04	Viral 50	in
0EqxHYPXxbNwa79sWeNMSn	Kindess (Tiguini)	O'Streaming	26	#4687d7	2021-09-04	Viral 50	in
0gjK1hJSfRvMNHvEegpuYv	Polozhenie	Sigma Rule, T3NZU	27	#4687d7	2021-09-04	Viral 50	in
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	28	#bd3200	2021-09-04	Viral 50	in
7nPiz3mQKCmLCIW70Re634	Tu Tu Tutu	Dybbukk	29	#bd3200	2021-09-04	Viral 50	in
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	30	#bd3200	2021-09-04	Viral 50	in
6oM6WUF3r8qUmLHhuSgL6X	Mere Nishan	Sean Dead, Arijit Dey	31	#bd3200	2021-09-04	Viral 50	in
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	32	#3e3e40	2021-09-04	Viral 50	in
0NvGVd87SYZnryTcfQPKUO	Kali Kali Zulfon Ke	Madhur Sharma	33	#bd3200	2021-09-04	Viral 50	in
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	34	#bd3200	2021-09-04	Viral 50	in
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	35	#bd3200	2021-09-04	Viral 50	in
3EOu9PdlgITjTh55oYw5RQ	Dil Ko Karaar Aaya Lofi	Siam Hossain, Royalty Music Records	36	#bd3200	2021-09-04	Viral 50	in
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	37	#bd3200	2021-09-04	Viral 50	in
21CvSW5NIu5Glg9x3BPxjj	Star Song	Sally Sossa, Lil Durk	38	#84bd00	2021-09-04	Viral 50	in
5S1102uVOmaQhwKcKGtLmO	Mere Liye	Akhil Sachdeva	39	#84bd00	2021-09-04	Viral 50	in
1dIWPXMX4kRHj6Dt2DStUQ	Chosen (feat. Ty Dolla $ign)	Blxst, Tyga	40	#84bd00	2021-09-04	Viral 50	in
6voQcZ46RMVPfg6O7sBn5U	"Idhuvum Kadandhu Pogum (The Healing Song) (From ""Netrikann"")"	Girishh, Sid Sriram	41	#bd3200	2021-09-04	Viral 50	in
4g8dFLgKP8u0lLUTLqcCgK	1 Dance, Baby I Like Your Style - Slowed Version	Rising6	42	#bd3200	2021-09-04	Viral 50	in
5ACacHdqtOjENeTgh4qfmy	Top Notch Gabru	Vicky	43	#3e3e40	2021-09-04	Viral 50	in
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	44	#bd3200	2021-09-04	Viral 50	in
7uacV4lyW352coabeaDOQv	Maaran	Bhoomee, Sid Sriram	45	#bd3200	2021-09-04	Viral 50	in
7892BLqVN5xkhB9v40b060	Roi Naa - Lofi	It's DPK	46	#3e3e40	2021-09-04	Viral 50	in
0CawrCDxkBgaR2ImcpQYMm	So Good	OAFF, Kayan	47	#bd3200	2021-09-04	Viral 50	in
7F1CiKqrY44kh5cDqwHOnx	Love Is Gone - Acoustic	SLANDER, Dylan Matthew	48	#bd3200	2021-09-04	Viral 50	in
39g4GmzPyDLTdtnhu24r2H	Jorthaale	Asal Kolaar, ofRO	49	#bd3200	2021-09-04	Viral 50	in
4wAW1wPisvtAAIR9TQU3kO	Up Up and Away	Xxxtention	50	#bd3200	2021-09-04	Viral 50	in
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	1	#3e3e40	2021-09-05	Viral 50	in
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	2	#84bd00	2021-09-05	Viral 50	in
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	3	#bd3200	2021-09-05	Viral 50	in
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	4	#3e3e40	2021-09-05	Viral 50	in
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	5	#3e3e40	2021-09-05	Viral 50	in
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	6	#3e3e40	2021-09-05	Viral 50	in
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	7	#84bd00	2021-09-05	Viral 50	in
2PEJKORCdmceTW2cgTkHv5	Aadmi Chutiya Hai	Rahgir	8	#bd3200	2021-09-05	Viral 50	in
